rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss
0.8504479200000001,4.0,1,2048,1,1818,,,,,,,,,,
0.86857704,4.0,2,4096,2,1465,-10.70364508330822,-0.11314129829406738,0.186181640625,0.014197173,10,0.2,0.024211667332565412,-0.1266828328371048,0.0003,-0.031091051935800352
0.8712865700000001,4.0,4,6144,3,1344,-10.663930016756058,0.9128220081329346,0.33134765625,0.023338567,20,0.2,0.0045269640490005255,-0.15393531322479248,0.0003,-0.05687351512024179
0.8928550899999999,4.0,6,8192,4,1323,-10.58540475666523,0.9265083000063896,0.3654296875,0.024491258,30,0.2,0.004618720465805382,-0.18304860591888428,0.0003,-0.059656997822457924
0.9326069100000001,4.0,7,10240,5,1318,-10.462435278296471,0.9338709786534309,0.397412109375,0.029039623,40,0.2,0.004345023008499993,-0.1600957065820694,0.0003,-0.0657843597669853
0.93560684,4.0,9,12288,6,1302,-10.324244606494904,0.9386989995837212,0.38525390625,0.02711822,50,0.2,0.004426946130115539,-0.1746511161327362,0.0003,-0.06302371503552422
0.9468048199999999,4.0,11,14336,7,1292,-10.140957361459732,0.9460634291172028,0.406982421875,0.02910333,60,0.2,0.003993460592755582,-0.14288730919361115,0.0003,-0.06342952700215392
0.9927086800000001,4.0,12,16384,8,1281,-9.927579125761985,0.952500868588686,0.43134765625,0.028718932,70,0.2,0.0037134742859052496,-0.13865886628627777,0.0003,-0.06392996526847128
1.02149366,4.0,14,18432,9,1270,-9.703863126039504,0.9643666706979275,0.40791015625,0.02728977,80,0.2,0.00282127150821907,-0.16919724643230438,0.0003,-0.06377725220227148
1.0148446999999998,4.0,16,20480,10,1265,-9.469760885834694,0.9643291868269444,0.343603515625,0.026632674,90,0.2,0.0029199070846516405,-0.14617730677127838,0.0003,-0.05505658549082
1.02721757,4.0,17,22528,11,1258,-9.224055582284928,0.9674529433250427,0.409716796875,0.029321805,100,0.2,0.002731719958319445,-0.1559501439332962,0.0003,-0.06403269115835428
1.0231226900000001,4.0,19,24576,12,1252,-8.976457473635673,0.974174689501524,0.3556640625,0.02585185,110,0.2,0.0021373540821514325,-0.1686048060655594,0.0003,-0.055209685445879585
1.0562406800000002,4.0,21,26624,13,1246,-8.76568000614643,0.9795047845691442,0.33037109375,0.02126295,120,0.2,0.0017725617573887576,-0.14908048510551453,0.0003,-0.0486444701673463
1.05861599,4.0,23,28672,14,1243,-8.530012041330338,0.9811109807342291,0.29443359375,0.019040719,130,0.2,0.0016627116776362528,-0.07572121918201447,0.0003,-0.04438360996136907
1.0813692099999999,4.0,24,30720,15,1239,-8.300158515572548,0.9838538561016321,0.30634765625,0.02089925,140,0.2,0.0014358078266013762,-0.15839898586273193,0.0003,-0.04331114611413796
1.08926323,4.0,26,32768,16,1236,-8.049581891298294,0.9852088205516338,0.321533203125,0.022654546,150,0.2,0.0012943245137648773,-0.12617400288581848,0.0003,-0.046296463669568765
1.09328255,4.0,28,34816,17,1232,-7.86565452516079,0.9884965140372515,0.2470703125,0.017965067,160,0.2,0.0010643417484970997,-0.08879486471414566,0.0003,-0.03510496400849661
1.1013668900000002,4.0,29,36864,18,1228,-7.659662266075611,0.9891209034249187,0.2533203125,0.019110082,170,0.2,0.0010306983156624483,-0.10927082598209381,0.0003,-0.03506310631637462
1.08701681,4.0,31,38912,19,1226,-7.520113597810268,0.9920128853991628,0.2283203125,0.015994955,180,0.2,0.0007474015952539048,-0.11225339025259018,0.0003,-0.02960546301328577
1.09223038,4.0,33,40960,20,1224,-7.316243635118008,0.9919280409812927,0.224755859375,0.01600761,190,0.2,0.0007929407633127994,-0.10825919359922409,0.0003,-0.03217062780167908
1.0977097599999999,4.0,35,43008,21,1223,-7.11695659160614,0.9926486141048372,0.257421875,0.017326834,200,0.2,0.0007048564273645752,-0.10132868587970734,0.0003,-0.03445360782789066
1.10046832,4.0,36,45056,22,1222,-6.967096537351608,0.993407275993377,0.21728515625,0.013934144,210,0.2,0.00066548955928738,-0.1131974458694458,0.0003,-0.026229770787176677
1.1039188500000001,4.0,38,47104,23,1220,-6.759337463974953,0.9933529770933092,0.20927734375,0.015614759,220,0.2,0.0006476428422502068,-0.10294327884912491,0.0003,-0.02548071685305331
1.0931749300000002,4.0,40,49152,24,1219,-6.6182468891143795,0.9941196218132973,0.195068359375,0.015253062,230,0.2,0.0005600396770205407,-0.09080778807401657,0.0003,-0.022629782628064275
1.10430575,4.0,42,51200,25,1218,-6.494873495399952,0.9954710239544511,0.183203125,0.012631133,240,0.2,0.00042321408427596906,-0.1064697727560997,0.0003,-0.02041788886708673
1.11012567,4.0,43,53248,26,1217,-6.394575549662113,0.996098238741979,0.168212890625,0.01355654,250,0.2,0.00037567875783679484,-0.08388826251029968,0.0003,-0.019181748884147965
1.1136431,4.0,45,55296,27,1216,-6.271494227647781,0.9964119475334883,0.206396484375,0.013124993,260,0.2,0.00036341998734314986,-0.08554843068122864,0.0003,-0.02814567749155685
1.1277688499999998,4.0,47,57344,28,1215,-6.125705832242966,0.9965797518379986,0.177734375,0.0136399325,270,0.2,0.0003570504586832612,-0.07212045788764954,0.0003,-0.023259684497315903
1.1164011399999998,4.0,48,59392,29,1214,-6.009331034123898,0.9973809351213276,0.166162109375,0.013525271,280,0.2,0.00025989113578361867,-0.06747256964445114,0.0003,-0.020283522641693707
1.1036905700000001,4.0,50,61440,30,1213,-5.922771954536438,0.9971891881432384,0.189306640625,0.013021173,290,0.2,0.0002703811508354192,-0.06881466507911682,0.0003,-0.02314507679111557
1.1194121800000003,4.0,52,63488,31,1212,-5.797040593624115,0.9977344945073128,0.18759765625,0.014459075,300,0.2,0.000249297438585927,-0.06481394171714783,0.0003,-0.022267179867776578
1.11292828,4.0,54,65536,32,1211,-5.69985098540783,0.998040767852217,0.18857421875,0.014959423,310,0.2,0.0001985264402037501,-0.10298070311546326,0.0003,-0.02672936933086021
1.12171251,4.0,55,67584,33,1211,-5.577171568572521,0.9985175587935373,0.185302734375,0.014771059,320,0.2,0.00014665545595562434,-0.07930198311805725,0.0003,-0.020387156889773904
1.11202704,4.0,57,69632,34,1211,-5.525776642560959,0.9986159638501704,0.155078125,0.010900335,330,0.2,0.00014560510824139782,-0.0898752212524414,0.0003,-0.01783607752295211
1.12288004,4.0,59,71680,35,1210,-5.4050243750214575,0.9987490472849458,0.1564453125,0.012226165,340,0.2,0.00012577950615195733,-0.053795088082551956,0.0003,-0.019918816181598232
1.13783105,4.0,60,73728,36,1209,-5.271196337044239,0.9989319501910359,0.21298828125,0.013172444,350,0.2,0.00010318744946289372,-0.09824363887310028,0.0003,-0.024607441725675017
1.1198821,4.0,62,75776,37,1208,-5.215063774585724,0.9988507826346904,0.1357421875,0.011910487,360,0.2,0.00013580398351678013,-0.058780521154403687,0.0003,-0.018009069742402063
1.1137961399999998,4.0,64,77824,38,1208,-5.164377449452877,0.9990410497412086,0.133056640625,0.011063708,370,0.2,0.00010500143741865031,-0.07675659656524658,0.0003,-0.0148549166158773
1.1258412800000002,4.0,66,79872,39,1207,-5.0409741893410684,0.9989902367815375,0.16435546875,0.011737534,380,0.2,0.00011324703154969029,-0.09611857682466507,0.0003,-0.019848529326554853
1.12688386,4.0,67,81920,40,1206,-5.012481550872326,0.9991848451318219,0.164501953125,0.013416827,390,0.2,8.35035040722687e-05,-0.08773942291736603,0.0003,-0.021429485097178257
1.1277403100000003,4.0,69,83968,41,1207,-4.961816556751728,0.9992575201904401,0.13349609375,0.010814112,400,0.2,9.968710432985972e-05,-0.07371954619884491,0.0003,-0.017912245164916386
1.10949646,4.0,71,86016,42,1208,-4.894341930747032,0.9993584619369358,0.133740234375,0.010446005,410,0.2,6.68400357653809e-05,-0.08431235700845718,0.0003,-0.015238089449121616
